Motor Position	Dividing Wavelength
mm	nm
50	334
49.9	335
49.8	336
49.7	337
49.6	338
49.5	339
49.4	340
49.3	341
49.2	342
49.1	343
49	344
48.9	344.2594
48.8	345.5158
48.7	347.7129
48.6	348.0669
48.5	350.363
48.4	350.7959
48.3	351.9084
48.2	352.6681
48.1	353.5356
48	353.8119
47.9	354.6171
47.8	355.3381
47.7	356.0391
47.6	356.8435
47.5	357.931
47.4	358.2859
47.3	358.7942
47.2	359.0954
47.1	359.6263
47	360.5119
46.9	361.1933
46.8	361.3919
46.7	362.3976
46.6	363.0016
46.5	363.6807
46.4	364.0376
46.3	364.3665
46.2	365.055
46.1	365.6479
46	366.2008
45.9	366.5012
45.8	366.9911
45.7	367.6922
45.6	367.7713
45.5	368.6711
45.4	368.9164
45.3	369.3983
45.2	369.7764
45.1	369.7776
45	371.4696
44.9	371.8556
44.8	372.0878
44.7	372.8909
44.6	373.0057
44.5	373.3458
44.4	374.125
44.3	374.4228
44.2	374.8139
44.1	375.5875
44	375.9877
43.9	376.3005
43.8	376.695
43.7	377.1489
43.6	377.5361
43.5	378.0675
43.4	378.3758
43.3	378.9181
43.2	379.1105
43.1	379.6751
43	380.0924
42.9	380.3946
42.8	380.8929
42.7	381.4483
42.6	381.6523
42.5	381.8539
42.4	382.2739
42.3	382.7988
42.2	383.42
42.1	383.5945
42	384.2122
41.9	384.4797
41.8	385.0204
41.7	385.5372
41.6	386.0573
41.5	386.3314
41.4	386.4246
41.3	387.1726
41.2	387.0546
41.1	387.6401
41	388.3193
40.9	388.8871
40.8	388.9348
40.7	389.6268
40.6	390.0664
40.5	390.3945
40.4	390.8423
40.3	391.1825
40.2	391.645
40.1	392.0111
40	392.4963
39.9	392.7364
39.8	393.0188
39.7	393.6899
39.6	393.79
39.5	394.1976
39.4	394.8697
39.3	395.2193
39.2	395.5091
39.1	395.9433
39	395.9371
38.9	396.2001
38.8	397.1802
38.7	397.643
38.6	397.6294
38.5	397.6242
38.4	397.8964
38.3	398.4669
38.2	399.7569
38.1	399.6542
38	400.3343
37.9	400.6249
37.8	401.0707
37.7	401.39
37.6	401.5284
37.5	402.3459
37.4	402.6188
37.3	402.6146
37.2	403.3862
37.1	404.0967
37	404.4006
36.9	405.0882
36.8	405.7201
36.7	405.5035
36.6	406.1775
36.5	406.4493
36.4	406.5542
36.3	407.4168
36.2	407.7853
36.1	408.1538
36	408.5079
35.9	409.2075
35.8	409.6502
35.7	409.7896
35.6	410.9026
35.5	410.9347
35.4	411.3227
35.3	411.7321
35.2	412.474
35.1	412.6971
35	413.2273
34.9	413.6611
34.8	414.4235
34.7	414.983
34.6	415.0084
34.5	415.6566
34.4	416.0049
34.3	416.5003
34.2	417.3387
34.1	417.7433
34	418.245
33.9	419.1338
33.8	419.7505
33.7	419.9749
33.6	420.5935
33.5	420.8334
33.4	421.3642
33.3	422.0787
33.2	422.5802
33.1	422.7695
33	423.5809
32.9	424.1959
32.8	424.3869
32.7	425.0183
32.6	425.4968
32.5	425.9734
32.4	426.4618
32.3	427.2711
32.2	427.4191
32.1	428.2015
32	428.6424
31.9	429.336
31.8	429.7491
31.7	430.5674
31.6	431.0736
31.5	431.5763
31.4	432.202
31.3	432.6123
31.2	433.3684
31.1	434.0302
31	434.4981
30.9	435.0662
30.8	435.7385
30.7	436.168
30.6	436.8293
30.5	437.5099
30.4	437.9401
30.3	438.6158
30.2	439.1969
30.1	439.7275
30	440.7473
29.9	441.4327
29.8	441.8979
29.7	442.6043
29.6	443.2179
29.5	443.7283
29.4	444.4067
29.3	445.0682
29.2	445.6318
29.1	446.3342
29	446.9893
28.9	447.6538
28.8	448.3917
28.7	449.0214
28.6	449.6665
28.5	450.3897
28.4	450.9598
28.3	451.7864
28.2	452.2497
28.1	453.1827
28	453.9869
27.9	454.6815
27.8	455.4133
27.7	456.003
27.6	456.7239
27.5	457.4758
27.4	458.1289
27.3	458.8292
27.2	459.5126
27.1	460.2818
27	460.9881
26.9	461.7075
26.8	462.4234
26.7	463.1774
26.6	463.9606
26.5	464.6586
26.4	465.3875
26.3	466.2939
26.2	466.9213
26.1	467.7848
26	468.5394
25.9	469.3244
25.8	470.3061
25.7	471.1291
25.6	472.0282
25.5	472.7971
25.4	473.7073
25.3	474.6455
25.2	475.5089
25.1	476.3699
25	477.5452
24.9	478.3389
24.8	479.1952
24.7	480.1669
24.6	481.0555
24.5	481.9537
24.4	482.8724
24.3	483.7592
24.2	484.6091
24.1	485.4848
24	486.452
23.9	487.4014
23.8	488.3198
23.7	489.2736
23.6	490.2688
23.5	491.3912
23.4	492.3018
23.3	493.1705
23.2	494.2331
23.1	495.1582
23	496.0533
22.9	497.1243
22.8	498.0874
22.7	499.1146
22.6	500.0983
22.5	501.1557
22.4	502.1463
22.3	503.1042
22.2	504.0877
22.1	505.1327
22	506.1521
21.9	507.196
21.8	508.2129
21.7	509.2724
21.6	510.2928
21.5	511.4942
21.4	512.4758
21.3	513.6223
21.2	514.7422
21.1	515.7607
21	516.8356
20.9	518.015
20.8	519.0992
20.7	520.2348
20.6	521.4674
20.5	522.5479
20.4	523.8051
20.3	524.905
20.2	526.1083
20.1	527.1236
20	528.4936
19.9	529.3983
19.8	530.8282
19.7	532.1153
19.6	533.2416
19.5	534.5097
19.4	535.5915
19.3	536.8978
19.2	538.0247
19.1	539.3675
19	540.6541
18.9	541.998
18.8	543.3198
18.7	544.4857
18.6	545.8857
18.5	547.0749
18.4	548.4803
18.3	549.7361
18.2	551.3253
18.1	552.5371
18	553.8108
17.9	555.1408
17.8	556.5128
17.7	557.8927
17.6	559.4207
17.5	560.7228
17.4	562.3206
17.3	563.6196
17.2	565.0252
17.1	566.4532
17	567.6942
16.9	569.2469
16.8	570.7856
16.7	572.1613
16.6	573.8133
16.5	575.0854
16.4	576.435
16.3	578.0047
16.2	579.5847
16.1	581.0289
16	582.438
15.9	583.9191
15.8	585.2677
15.7	587.0896
15.6	588.7844
15.5	590.4105
15.4	592.0515
15.3	593.7116
15.2	595.1414
15.1	596.9067
15	598.2087
14.9	599.7742
14.8	601.5656
14.7	603.1408
14.6	605.201
14.5	606.9711
14.4	608.5519
14.3	610.196
14.2	611.9824
14.1	613.6425
14	615.3914
13.9	617.0657
13.8	619.164
13.7	620.9876
13.6	622.9059
13.5	624.5908
13.4	626.7549
13.3	628.4232
13.2	630.3088
13.1	632.098
13	634.0464
12.9	635.9062
12.8	637.8579
12.7	639.8845
12.6	642.057
12.5	644.3277
12.4	646.3078
12.3	648.5397
12.2	650.3166
12.1	652.3996
12	654.5097
11.9	656.8825
11.8	658.9251
11.7	661.3148
11.6	663.7149
11.5	665.9593
11.4	668.1974
11.3	670.5473
11.2	672.7149
11.1	675.2113
11	677.3801
10.9	679.6456
10.8	682.274
10.7	684.827
10.6	687.2471
10.5	689.5994
10.4	691.8701
10.3	694.3245
10.2	696.8091
10.1	699.0349
10	701.3336
9.9	703.6605
9.8	706.203
9.7	708.7441
9.59999999999999	711.4551
9.5	713.8099
9.4	716.1851
9.3	718.4332
9.2	720.6783
9.09999999999999	723.0054
9	725.1848
8.9	727.2682
8.8	729.3605
8.7	731.8356
8.59999999999999	733.9627
8.5	736.1612
8.4	738.6141
8.3	740.0096
8.2	741.8533
8.09999999999999	743.7194
8	745.3555
7.9	747.209
7.8	749.2294
7.7	750.9814
7.59999999999999	752.6628
7.5	753.6269
7.4	755.1852
7.3	756.5583
7.2	758.0776
7.09999999999999	759.3362
7	760.5818
6.9	761.438
6.8	762.8474
6.7	763.616
6.59999999999999	765.2781
6.5	766.3789
6.4	767.1124
6.3	767.8295
6.2	768.1225
6.09999999999999	768.9115
6	769.684
5.9	770.1964
5.8	771.3363
