Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
355.000000	50.000000	3.036400
355.100000	49.996733	3.046507
355.200000	49.993149	3.056614
355.300000	49.989255	3.066720
355.400000	49.985054	3.076827
355.500000	49.980553	3.086934
355.600000	49.975756	3.097041
355.700000	49.970669	3.107148
355.800000	49.965298	3.117254
355.900000	49.959647	3.127361
356.000000	49.953722	3.137468
356.100000	49.947527	3.147575
356.200000	49.941070	3.157682
356.300000	49.934354	3.167788
356.400000	49.927385	3.177895
356.500000	49.920168	3.188002
356.600000	49.912709	3.198109
356.700000	49.905013	3.208216
356.800000	49.897085	3.218322
356.900000	49.888930	3.228429
357.000000	49.880554	3.238536
357.100000	49.871962	3.248643
357.200000	49.863160	3.258750
357.300000	49.854152	3.268856
357.400000	49.844944	3.278963
357.500000	49.835541	3.289070
357.600000	49.825949	3.299177
357.700000	49.816172	3.309284
357.800000	49.806217	3.319390
357.900000	49.796088	3.329497
358.000000	49.785790	3.339604
358.100000	49.775330	3.349711
358.200000	49.764712	3.359818
358.300000	49.753941	3.369924
358.400000	49.743023	3.380031
358.500000	49.731964	3.390138
358.600000	49.720768	3.400245
358.700000	49.709440	3.410352
358.800000	49.697987	3.420458
358.900000	49.686412	3.430565
359.000000	49.674723	3.440672
359.100000	49.662923	3.450779
359.200000	49.651019	3.460886
359.300000	49.639015	3.470992
359.400000	49.626916	3.481099
359.500000	49.614729	3.491206
359.600000	49.602458	3.501313
359.700000	49.590109	3.511420
359.800000	49.577687	3.521526
359.900000	49.565197	3.531633
360.000000	49.552645	3.541740
360.100000	49.540035	3.551847
360.200000	49.527373	3.561954
360.300000	49.514665	3.572060
360.400000	49.501916	3.582167
360.500000	49.488837	3.592274
360.600000	49.474950	3.602381
360.700000	49.460295	3.612488
360.800000	49.444919	3.622594
360.900000	49.428873	3.632701
361.000000	49.412205	3.642808
361.100000	49.394964	3.652915
361.200000	49.377199	3.663022
361.300000	49.358958	3.673128
361.400000	49.340291	3.683235
361.500000	49.321246	3.693342
361.600000	49.301873	3.703449
361.700000	49.282220	3.713556
361.800000	49.262336	3.723662
361.900000	49.242271	3.733769
362.000000	49.222072	3.743876
362.100000	49.201789	3.753983
362.200000	49.181470	3.764090
362.300000	49.161166	3.774196
362.400000	49.140923	3.784303
362.500000	49.120792	3.794410
362.600000	49.100822	3.804517
362.700000	49.081060	3.814624
362.800000	49.061556	3.824730
362.900000	49.042360	3.834837
363.000000	49.023519	3.844944
363.100000	49.005083	3.855051
363.200000	48.986950	3.865158
363.300000	48.968746	3.875264
363.400000	48.950462	3.885371
363.500000	48.932111	3.895478
363.600000	48.913706	3.905585
363.700000	48.895263	3.915692
363.800000	48.876793	3.925798
363.900000	48.858310	3.935905
364.000000	48.839829	3.946012
364.100000	48.821362	3.955396
364.200000	48.802924	3.963654
364.300000	48.784527	3.971271
364.400000	48.766186	3.978726
364.500000	48.747913	3.986503
364.600000	48.729723	3.995084
364.700000	48.711628	4.004949
364.800000	48.693643	4.016582
364.900000	48.675781	4.030465
365.000000	48.658055	4.047080
365.100000	48.640480	4.083718
365.200000	48.623068	4.131077
365.300000	48.605833	4.154306
365.400000	48.588790	4.168103
365.500000	48.571950	4.180119
365.600000	48.555328	4.190563
365.700000	48.538938	4.199643
365.800000	48.522792	4.207570
365.900000	48.506905	4.214550
366.000000	48.491291	4.220794
366.100000	48.475959	4.226510
366.200000	48.460894	4.231907
366.300000	48.446080	4.237195
366.400000	48.431501	4.242581
366.500000	48.417141	4.248274
366.600000	48.402985	4.254026
366.700000	48.389016	4.259150
366.800000	48.375218	4.263710
366.900000	48.361575	4.267788
367.000000	48.348071	4.271461
367.100000	48.334691	4.274808
367.200000	48.321418	4.277911
367.300000	48.308236	4.280848
367.400000	48.295129	4.283699
367.500000	48.282082	4.286542
367.600000	48.269078	4.289459
367.700000	48.256101	4.292527
367.800000	48.243136	4.295827
367.900000	48.230166	4.299438
368.000000	48.217175	4.303439
368.100000	48.204147	4.307910
368.200000	48.191067	4.312930
368.300000	48.177918	4.318580
368.400000	48.164685	4.324937
368.500000	48.151351	4.332083
368.600000	48.137900	4.340095
368.700000	48.124316	4.349055
368.800000	48.110584	4.368876
368.900000	48.096687	4.404796
369.000000	48.082610	4.438783
369.100000	48.068336	4.454361
369.200000	48.053849	4.462668
369.300000	48.039134	4.469884
369.400000	48.024174	4.476113
369.500000	48.008954	4.481460
369.600000	47.993479	4.486032
369.700000	47.977922	4.489934
369.800000	47.962314	4.493270
369.900000	47.946645	4.496146
370.000000	47.930904	4.498668
370.100000	47.915080	4.500940
370.200000	47.899162	4.503070
370.300000	47.883140	4.505160
370.400000	47.867002	4.507317
370.500000	47.850739	4.509647
370.600000	47.834339	4.512254
370.700000	47.817792	4.515244
370.800000	47.801087	4.518722
370.900000	47.784213	4.522795
371.000000	47.767159	4.527565
371.100000	47.749916	4.533141
371.200000	47.732471	4.539626
371.300000	47.714814	4.547126
371.400000	47.696936	4.556818
371.500000	47.678823	4.577850
371.600000	47.660467	4.606176
371.700000	47.641857	4.634130
371.800000	47.622981	4.654059
371.900000	47.603829	4.666970
372.000000	47.584390	4.678130
372.100000	47.564653	4.687864
372.200000	47.544609	4.696502
372.300000	47.524245	4.704366
372.400000	47.503551	4.711786
372.500000	47.482217	4.719087
372.600000	47.459748	4.726598
372.700000	47.436252	4.734643
372.800000	47.411852	4.743549
372.900000	47.386670	4.753643
373.000000	47.360828	4.765142
373.100000	47.334449	4.777811
373.200000	47.307655	4.791312
373.300000	47.280568	4.805311
373.400000	47.253311	4.819470
373.500000	47.226005	4.833452
373.600000	47.198774	4.846919
373.700000	47.171738	4.859487
373.800000	47.145022	4.870422
373.900000	47.118746	4.880105
374.000000	47.093034	4.889216
374.100000	47.068007	4.898435
374.200000	47.043788	4.908445
374.300000	47.020499	4.919924
374.400000	46.998261	4.933556
374.500000	46.976912	4.950018
374.600000	46.956233	4.975615
374.700000	46.936168	5.018641
374.800000	46.916658	5.055096
374.900000	46.897645	5.074178
375.000000	46.879071	5.089704
375.100000	46.860877	5.102673
375.200000	46.843006	5.113869
375.300000	46.825399	5.124076
375.400000	46.807998	5.134076
375.500000	46.790746	5.144655
375.600000	46.773583	5.156593
375.700000	46.756451	5.169938
375.800000	46.739293	5.183624
375.900000	46.722050	5.197557
376.000000	46.704665	5.211673
376.100000	46.687078	5.225908
376.200000	46.669233	5.240196
376.300000	46.651070	5.254473
376.400000	46.632531	5.268765
376.500000	46.613559	5.283324
376.600000	46.594095	5.298042
376.700000	46.574081	5.312779
376.800000	46.553459	5.327389
376.900000	46.532170	5.341731
377.000000	46.510158	5.355660
377.100000	46.487349	5.369153
377.200000	46.463672	5.382554
377.300000	46.439170	5.395826
377.400000	46.413904	5.408885
377.500000	46.387930	5.421646
377.600000	46.361308	5.434023
377.700000	46.334096	5.445932
377.800000	46.306353	5.457287
377.900000	46.278135	5.467862
378.000000	46.249503	5.477099
378.100000	46.220514	5.485282
378.200000	46.191227	5.492789
378.300000	46.161700	5.500004
378.400000	46.131991	5.507306
378.500000	46.102159	5.515077
378.600000	46.072262	5.523697
378.700000	46.042359	5.533548
378.800000	46.012508	5.545010
378.900000	45.982549	5.558465
379.000000	45.951628	5.577383
379.100000	45.919802	5.607161
379.200000	45.887244	5.640009
379.300000	45.854129	5.667455
379.400000	45.820631	5.688330
379.500000	45.786925	5.706505
379.600000	45.753185	5.724171
379.700000	45.719585	5.743515
379.800000	45.686300	5.766744
379.900000	45.653504	5.799243
380.000000	45.621371	5.836479
380.100000	45.590076	5.867448
380.200000	45.559793	5.890926
380.300000	45.530696	5.911968
380.400000	45.502960	5.930874
380.500000	45.476543	5.947950
380.600000	45.451129	5.963498
380.700000	45.426618	5.977654
380.800000	45.402911	5.990317
380.900000	45.379908	6.001828
381.000000	45.357511	6.012546
381.100000	45.335622	6.022834
381.200000	45.314142	6.033052
381.300000	45.292972	6.043563
381.400000	45.272013	6.054727
381.500000	45.251167	6.066906
381.600000	45.230335	6.079205
381.700000	45.209418	6.090485
381.800000	45.188318	6.101865
381.900000	45.166935	6.114488
382.000000	45.145172	6.129494
382.100000	45.122929	6.148028
382.200000	45.100108	6.171399
382.300000	45.076610	6.226277
382.400000	45.052336	6.272161
382.500000	45.027188	6.289496
382.600000	45.001066	6.303225
382.700000	44.973642	6.314088
382.800000	44.944739	6.322822
382.900000	44.914556	6.330168
383.000000	44.883297	6.336864
383.100000	44.851162	6.343652
383.200000	44.818352	6.351270
383.300000	44.785070	6.360457
383.400000	44.751517	6.371952
383.500000	44.717894	6.386156
383.600000	44.684402	6.402448
383.700000	44.651244	6.420024
383.800000	44.618620	6.438086
383.900000	44.586732	6.455832
384.000000	44.555781	6.472459
384.100000	44.525969	6.487353
384.200000	44.497495	6.500957
384.300000	44.470110	6.514075
384.400000	44.443490	6.527510
384.500000	44.417555	6.542063
384.600000	44.392224	6.558537
384.700000	44.367413	6.577825
384.800000	44.343043	6.602939
384.900000	44.319031	6.632614
385.000000	44.295297	6.663559
385.100000	44.271758	6.694474
385.200000	44.248334	6.728295
385.300000	44.224942	6.759580
385.400000	44.201501	6.782651
385.500000	44.177930	6.800528
385.600000	44.154148	6.815775
385.700000	44.130072	6.829301
385.800000	44.105622	6.842013
385.900000	44.080716	6.854821
386.000000	44.055272	6.868632
386.100000	44.029209	6.884159
386.200000	44.002446	6.900512
386.300000	43.974719	6.917341
386.400000	43.945848	6.934539
386.500000	43.916006	6.951995
386.600000	43.885369	6.969599
386.700000	43.854111	6.987034
386.800000	43.822407	7.003494
