Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
394.000000	48.927363	3.036400
394.100000	48.852963	3.046507
394.200000	48.784026	3.056614
394.300000	48.717656	3.066720
394.400000	48.650956	3.076827
394.500000	48.581031	3.086934
394.600000	48.504982	3.097041
394.700000	48.420824	3.107148
394.800000	48.330420	3.117254
394.900000	48.236639	3.127361
395.000000	48.142349	3.137468
395.100000	48.050418	3.147575
395.200000	47.963341	3.157682
395.300000	47.879640	3.167788
395.400000	47.797882	3.177895
395.500000	47.717089	3.188002
395.600000	47.636285	3.198109
395.700000	47.554493	3.208216
395.800000	47.470716	3.218322
395.900000	47.384413	3.228429
396.000000	47.296661	3.238536
396.100000	47.208775	3.248643
396.200000	47.122069	3.258750
396.300000	47.037859	3.268856
396.400000	46.956973	3.278963
396.500000	46.877718	3.289070
396.600000	46.799893	3.299177
396.700000	46.723618	3.309284
396.800000	46.649015	3.319390
396.900000	46.576205	3.329497
397.000000	46.505307	3.339604
397.100000	46.436767	3.349711
397.200000	46.370667	3.359818
397.300000	46.306357	3.369924
397.400000	46.243189	3.380031
397.500000	46.180513	3.390138
397.600000	46.117678	3.400245
397.700000	46.054035	3.410352
397.800000	45.988951	3.420458
397.900000	45.922771	3.430565
398.000000	45.856014	3.440672
398.100000	45.788859	3.450779
398.200000	45.721488	3.460886
398.300000	45.654078	3.470992
398.400000	45.586809	3.481099
398.500000	45.519862	3.491206
398.600000	45.453331	3.501313
398.700000	45.387036	3.511420
398.800000	45.320901	3.521526
398.900000	45.254858	3.531633
399.000000	45.188843	3.541740
399.100000	45.122789	3.551847
399.200000	45.056631	3.561954
399.300000	44.990292	3.572060
399.400000	44.923202	3.582167
399.500000	44.855407	3.592274
399.600000	44.787382	3.602381
399.700000	44.719601	3.612488
399.800000	44.652541	3.622594
399.900000	44.586677	3.632701
400.000000	44.522484	3.642808
400.100000	44.460093	3.652915
400.200000	44.398573	3.663022
400.300000	44.337887	3.673128
400.400000	44.278097	3.683235
400.500000	44.219264	3.693342
400.600000	44.161449	3.703449
400.700000	44.104713	3.713556
400.800000	44.049118	3.723662
400.900000	43.994723	3.733769
401.000000	43.941361	3.743876
401.100000	43.888877	3.753983
401.200000	43.837248	3.764090
401.300000	43.786450	3.774196
401.400000	43.736460	3.784303
401.500000	43.687257	3.794410
401.600000	43.638816	3.804517
