Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
385.000000	43.300242	0.000000
385.100000	43.300164	0.000000
385.200000	43.300087	0.000000
385.300000	43.300010	0.000000
385.400000	43.298969	0.000000
385.500000	43.295562	0.000000
385.600000	43.290067	0.000000
385.700000	43.282788	0.000000
385.800000	43.274027	0.000000
385.900000	43.264086	0.000000
386.000000	43.253268	0.000000
386.100000	43.241874	0.000000
386.200000	43.230209	0.000000
386.300000	43.218573	0.000000
386.400000	43.207269	0.000000
386.500000	43.196487	0.000000
386.600000	43.184983	0.000000
386.700000	43.172530	0.000000
386.800000	43.159378	0.000000
386.900000	43.145776	0.000000
387.000000	43.131974	0.000000
387.100000	43.118221	0.000000
387.200000	43.104767	0.000000
387.300000	43.091721	0.000000
387.400000	43.078715	0.000000
387.500000	43.065709	0.000000
387.600000	43.052702	0.000000
387.700000	43.039694	0.000000
387.800000	43.026686	0.000000
387.900000	43.013677	0.000000
388.000000	43.000668	0.000000
388.100000	42.988172	0.000000
388.200000	42.976493	0.000000
388.300000	42.965126	0.000000
388.400000	42.953562	0.000000
388.500000	42.941292	0.000000
388.600000	42.927808	0.000000
388.700000	42.912602	0.000000
388.800000	42.894843	0.000000
388.900000	42.869445	0.000000
389.000000	42.839763	0.000000
389.100000	42.812309	0.000000
389.200000	42.792738	0.000000
389.300000	42.777844	0.000000
389.400000	42.765412	0.000000
389.500000	42.754425	0.000000
389.600000	42.743865	0.000000
389.700000	42.732713	0.000000
389.800000	42.719951	0.000000
389.900000	42.704561	0.000000
390.000000	42.684599	0.000000
390.100000	42.658863	0.000000
390.200000	42.630452	0.000000
390.300000	42.602627	0.000000
390.400000	42.575267	0.000000
390.500000	42.546710	0.000000
390.600000	42.520174	0.000000
390.700000	42.498914	0.000000
390.800000	42.482871	0.000000
390.900000	42.469662	0.000000
391.000000	42.458266	0.000000
391.100000	42.447663	0.000000
391.200000	42.436833	0.000000
391.300000	42.424755	0.000000
391.400000	42.410409	0.000000
391.500000	42.392489	0.000000
391.600000	42.368474	0.000000
391.700000	42.340621	0.000000
391.800000	42.312197	0.000000
391.900000	42.285757	0.000000
392.000000	42.259694	0.000000
392.100000	42.233631	0.000000
392.200000	42.207566	0.000000
392.300000	42.180642	0.000000
392.400000	42.152046	0.000000
392.500000	42.124858	0.000000
392.600000	42.102348	0.000000
392.700000	42.085616	0.000000
392.800000	42.071946	0.000000
392.900000	42.060282	0.000000
393.000000	42.049600	0.000000
393.100000	42.038879	0.000000
393.200000	42.027096	0.000000
393.300000	42.013228	0.000000
393.400000	41.996166	0.000000
393.500000	41.973172	0.000000
393.600000	41.945745	0.000000
393.700000	41.917161	0.000000
393.800000	41.890382	0.000000
393.900000	41.864299	0.000000
394.000000	41.838214	0.000000
394.100000	41.812129	0.000000
394.200000	41.786042	0.000000
394.300000	41.759954	0.000000
394.400000	41.733865	0.000000
394.500000	41.707775	0.000000
394.600000	41.680841	0.000000
394.700000	41.652219	0.000000
394.800000	41.624988	0.000000
394.900000	41.602427	0.000000
395.000000	41.585663	0.000000
395.100000	41.571973	0.000000
395.200000	41.560295	0.000000
395.300000	41.549603	0.000000
395.400000	41.538871	0.000000
395.500000	41.527075	0.000000
395.600000	41.513187	0.000000
395.700000	41.496095	0.000000
395.800000	41.473054	0.000000
395.900000	41.445586	0.000000
396.000000	41.416977	0.000000
396.100000	41.390186	0.000000
396.200000	41.364077	0.000000
396.300000	41.337968	0.000000
396.400000	41.311857	0.000000
396.500000	41.285745	0.000000
396.600000	41.259632	0.000000
396.700000	41.233517	0.000000
396.800000	41.207402	0.000000
396.900000	41.181286	0.000000
397.000000	41.155168	0.000000
397.100000	41.129050	0.000000
397.200000	41.102930	0.000000
397.300000	41.076809	0.000000
397.400000	41.050687	0.000000
397.500000	41.024564	0.000000
397.600000	40.998440	0.000000
397.700000	40.972315	0.000000
397.800000	40.946188	0.000000
397.900000	40.920061	0.000000
398.000000	40.893826	0.000000
398.100000	40.865640	0.000000
398.200000	40.837310	0.000000
398.300000	40.812129	0.000000
398.400000	40.792978	0.000000
398.500000	40.777988	0.000000
398.600000	40.765491	0.000000
398.700000	40.754456	0.000000
398.800000	40.743854	0.000000
398.900000	40.732655	0.000000
399.000000	40.719829	0.000000
399.100000	40.704345	0.000000
399.200000	40.684212	0.000000
399.300000	40.658298	0.000000
399.400000	40.629755	0.000000
399.500000	40.601882	0.000000
399.600000	40.575725	0.000000
399.700000	40.549578	0.000000
399.800000	40.523429	0.000000
399.900000	40.497280	0.000000
400.000000	40.471129	0.000000
400.100000	40.444978	0.000000
400.200000	40.418825	0.000000
400.300000	40.392671	0.000000
400.400000	40.366516	0.000000
400.500000	40.340360	0.000000
400.600000	40.314202	0.000000
400.700000	40.288044	0.000000
400.800000	40.261884	0.000000
400.900000	40.235724	0.000000
401.000000	40.209562	0.000000
401.100000	40.183399	0.000000
401.200000	40.157235	0.000000
401.300000	40.131070	0.000000
401.400000	40.104904	0.000000
401.500000	40.078737	0.000000
401.600000	40.052569	0.000000
401.700000	40.026399	0.000000
401.800000	40.000229	0.000000
401.900000	39.974057	0.000000
402.000000	39.947884	0.000000
402.100000	39.921710	0.000000
402.200000	39.895536	0.000000
402.300000	39.869359	0.000000
402.400000	39.843182	0.000000
402.500000	39.817004	0.000000
402.600000	39.790825	0.000000
402.700000	39.764644	0.000000
402.800000	39.738462	0.000000
402.900000	39.712280	0.000000
403.000000	39.686096	0.000000
403.100000	39.659911	0.000000
403.200000	39.633725	0.000000
403.300000	39.607538	0.000000
403.400000	39.581349	0.000000
403.500000	39.555160	0.000000
403.600000	39.528970	0.000000
403.700000	39.502778	0.000000
403.800000	39.475293	0.000000
403.900000	39.446576	0.000000
404.000000	39.419919	0.000000
404.100000	39.398627	0.000000
404.200000	39.382557	0.000000
404.300000	39.369329	0.000000
404.400000	39.357907	0.000000
404.500000	39.347253	0.000000
404.600000	39.336329	0.000000
404.700000	39.324098	0.000000
404.800000	39.309521	0.000000
404.900000	39.291183	0.000000
405.000000	39.266686	0.000000
405.100000	39.238529	0.000000
405.200000	39.210036	0.000000
405.300000	39.183562	0.000000
405.400000	39.157352	0.000000
405.500000	39.131140	0.000000
405.600000	39.104927	0.000000
405.700000	39.078714	0.000000
405.800000	39.052499	0.000000
405.900000	39.026283	0.000000
406.000000	39.000066	0.000000
406.100000	38.973847	0.000000
406.200000	38.947628	0.000000
406.300000	38.921408	0.000000
406.400000	38.895186	0.000000
406.500000	38.868964	0.000000
406.600000	38.842740	0.000000
406.700000	38.816515	0.000000
406.800000	38.790289	0.000000
406.900000	38.764062	0.000000
407.000000	38.737834	0.000000
407.100000	38.711604	0.000000
407.200000	38.685374	0.000000
407.300000	38.659142	0.000000
407.400000	38.632910	0.000000
407.500000	38.606676	0.000000
407.600000	38.580441	0.000000
407.700000	38.554205	0.000000
